"value","description","date","geography","sex","age","source_file"
75606,"diagnostics pathway total waiting",2019-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71983,"diagnostics pathway total waiting",2019-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
72821,"diagnostics pathway total waiting",2019-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
71004,"diagnostics pathway total waiting",2019-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
69766,"diagnostics pathway total waiting",2019-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73248,"diagnostics pathway total waiting",2019-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
72313,"diagnostics pathway total waiting",2019-11-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73625,"diagnostics pathway total waiting",2019-12-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
72960,"diagnostics pathway total waiting",2020-01-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
74757,"diagnostics pathway total waiting",2020-02-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
73846,"diagnostics pathway total waiting",2020-03-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
78941,"diagnostics pathway total waiting",2020-04-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
87091,"diagnostics pathway total waiting",2020-05-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
95299,"diagnostics pathway total waiting",2020-06-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
103189,"diagnostics pathway total waiting",2020-07-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
108663,"diagnostics pathway total waiting",2020-08-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
113785,"diagnostics pathway total waiting",2020-09-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
113361,"diagnostics pathway total waiting",2020-10-01,"wales","persons","all ages","diagnostic_pathway_waiting_times.csv"
